127.0.0.1, 2017-02-24 10:17:28, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/default/index, HTTP/1.1, 200, 5.022000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-24 10:17:33, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-24 10:17:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:34, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:35, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:35, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-24 10:17:35, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-25 06:59:00, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2017-02-25 06:59:03, GET, /welcome/default/index, HTTP/1.1, 200, 2.735000
127.0.0.1, 2017-02-25 06:59:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.127000
127.0.0.1, 2017-02-25 06:59:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.129000
127.0.0.1, 2017-02-25 06:59:03, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.140000
127.0.0.1, 2017-02-25 06:59:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-02-25 06:59:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.073000
